frame,time_sec,face_detected,left_iris_center_x_px,left_iris_center_y_px,right_iris_center_x_px,right_iris_center_y_px,iris_center_x_px,iris_center_y_px,left_iris_x_norm,left_iris_y_norm,right_iris_x_norm,right_iris_y_norm,iris_x_norm,iris_y_norm
1499,49.966667,1,768.422585,376.580805,670.319271,373.316277,719.370928,374.948541,2.772842,1.840738,-1.870879,1.996092,0.450982,1.918415
1500,50.0,1,769.089546,376.497195,670.744343,373.400488,719.916945,374.948841,2.786928,1.817443,-1.860691,2.098912,0.463118,1.958178
1501,50.033333,1,769.338169,376.330158,671.172371,373.25316,720.25527,374.791659,2.759298,1.703099,-1.922967,1.900035,0.418166,1.801567
1502,50.066667,1,769.552975,376.470469,671.256599,373.26539,720.404787,374.86793,2.788089,1.772645,-1.894574,2.106448,0.446758,1.939546
1503,50.1,1,769.655113,376.381699,671.39246,373.049709,720.523787,374.715704,2.78828,1.841743,-1.9129,1.870841,0.43769,1.856292
1504,50.133333,1,769.460869,376.448861,671.450768,373.033808,720.455818,374.741335,2.770979,1.825358,-1.896879,1.897011,0.43705,1.861185
1505,50.166667,1,769.565678,376.42058,671.431103,372.931552,720.49839,374.676066,2.77506,1.813971,-1.915957,1.807634,0.429552,1.810802
1506,50.2,1,769.298229,376.357988,670.987358,372.932281,720.142794,374.645135,2.792175,1.802256,-1.892676,2.066939,0.44975,1.934597
1507,50.233333,1,769.172401,376.320201,670.847454,372.839541,720.009928,374.579871,2.789622,1.73591,-1.906796,2.225485,0.441413,1.980697
1508,50.266667,1,768.791714,376.587821,670.573578,373.012737,719.682646,374.800279,2.80795,1.810709,-1.877281,2.327941,0.465334,2.069325
1509,50.3,1,768.984737,376.448561,670.77095,373.163584,719.877844,374.806073,2.79338,1.790464,-1.899869,2.125966,0.446755,1.958215
1510,50.333333,1,768.73909,376.467294,671.068459,372.949544,719.903774,374.708419,2.786662,1.849197,-1.883489,2.115962,0.451586,1.98258
1511,50.366667,1,768.889923,376.313013,671.363716,372.475115,720.12682,374.394064,2.770571,1.869594,-1.895331,2.04799,0.43762,1.958792
